Id,L0_S0_F0,L3_S29_F3321,L3_S33_F3857,L3_S34_F3882,L3_S37_F3950,L0_S0_D1,L3_S29_D3316,L3_S37_D3951,Response
4,0.03,-0.119,-0.102,0.0,0.0,82.24,87.26,87.29,0
6,,-0.127,-0.026,0.0,0.0,,1315.73,1315.75,0
7,0.088,-0.099,0.191,0.0,0.0,1618.7,1624.4,1624.42,0
9,-0.036,-0.039,0.031,0.0,0.0,1149.2,1154.12,1154.16,0
11,-0.055,-0.091,-0.049,0.0,0.0,602.64,606.0,606.02,0
13,0.003,-0.017,0.007,0.0,0.0,1331.66,1339.69,1339.73,0
14,,0.121,-0.001,0.0,0.0,,1664.02,1664.04,0
16,,-0.037,-0.193,0.0,0.0,,804.34,804.36,0
18,-0.016,0.053,-0.006,0.0,0.0,517.64,518.06,518.08,0
23,,-0.097,0.129,0.0,0.0,,157.87,157.89,0
26,0.016,-0.151,0.163,0.0,0.0,1104.78,1105.93,1105.95,0
27,-0.062,0.12,0.009,0.0,0.0,392.85,401.39,401.41,0
28,-0.075,0.332,0.119,0.0,0.0,55.44,62.06,62.1,0
31,-0.003,0.107,0.01,0.0,0.0,98.99,99.65,99.67,0
34,-0.016,-0.216,0.149,0.0,0.0,354.51,365.33,365.38,0
38,0.252,0.011,-0.226,0.0,0.0,1633.8,1636.35,1636.37,0
41,,0.278,-0.076,0.0,0.0,,476.55,476.57,0
44,-0.016,-0.21,0.077,0.0,0.0,1532.42,1541.98,1542.0,0
47,,0.008,0.063,0.0,0.0,,263.41,263.44,0
49,0.088,-0.201,-0.002,0.0,0.0,675.84,677.64,677.68,0
52,,-0.151,0.018,0.0,0.0,,991.59,991.61,0
55,,0.093,-0.009,0.0,0.002,,1346.16,1346.19,0
56,0.003,0.073,-0.025,0.0,0.0,886.18,890.07,890.1,0
57,0.01,0.019,0.028,0.0,0.0,609.56,611.46,611.48,0
63,,0.019,-0.029,0.0,0.0,,668.01,668.04,0
68,0.036,-0.099,-0.025,0.0,0.0,1450.09,1450.82,1450.84,0
70,0.062,,,,,187.57,,,0
71,-0.167,0.011,0.112,0.0,0.0,1458.06,1460.29,1460.32,0
72,,0.093,-0.067,0.0,0.0,,1297.46,1297.48,0
73,,-0.216,0.098,0.0,0.0,,321.26,321.29,0
75,0.036,0.072,-0.096,0.0,0.0,1214.71,1216.31,1216.35,0
76,,-0.119,-0.02,0.0,0.0,,120.62,120.66,0
78,0.101,0.332,0.023,0.0,0.0,140.41,146.12,146.15,0
79,,0.262,-0.03,0.0,0.0,,37.81,37.84,0
81,0.036,0.204,-0.288,0.0,0.0,1378.89,1379.52,1379.56,0
82,-0.016,0.121,0.133,0.0,0.0,1674.9,1691.64,1691.67,0
84,,0.183,-0.083,0.0,0.0,,759.85,759.87,0
86,-0.003,0.072,0.19,0.0,0.0,922.9,927.08,927.11,0
87,0.016,0.072,-0.184,0.0,0.0,1213.34,1214.92,1214.94,0
88,,0.183,-0.165,0.0,0.0,,624.46,624.48,0
91,0.036,-0.171,-0.033,0.0,0.0,520.01,521.06,521.09,0
